oHHDosJEtdY9,자양 5775,대구,동구,자양동
JvesPh90YKm2,소미네,대구,동구,자양동
2E0orzsY36o4,자양주점,대구,동구,자양동
m38GL3kLFf9v,브링미커피 자양점,대구,동구,자양동
cw8Y3ODv3A5g,이르,대구,동구,자양동
q2Wby33VeR7f,사이이커피,대구,동구,자양동
6zEpnoE3bgCo,지속,대구,동구,자양동
ur6Nl19bM9iV,비움,대구,동구,자양동
Mfdkwxewr59p,서궁 갤러리&카페,대구,동구,정동
5H656WdKolgf,심플리커피,대구,동구,정동
4D0Iob3Xw2YV,스윗밸런스 정동길점,대구,동구,정동
6WZrghcB07N3,텅댄스,대구,동구,정동
v53te2ZTfdrk,카페베로나,대구,동구,정동
LHHMhse5CTYk,복호두 부천중동점,대구,동구,중동
Bm93IEjdY8OX,칸지돈부리,대구,동구,중동
P16eCS8a7xZH,원더풀숟가락 스시락 중동점,대구,동구,중동
rQWxJcunWUuU,돼슐랭,대구,동구,중동
qpKx4OgWXBfM,앤드류,대구,동구,중동
Oh1oTKc5i8gC,비플로우,대구,동구,중동
nCHdfx9iguRL,프레쉬쿠피,대구,동구,중동
JMVG8DbteS2z,902탭하우스,대구,동구,중동
hBYxl4dVN2Gc,EFG COFFEE,대구,동구,중동
4C4PJnslZGvs,이해공간,대구,동구,중동
tbvZo6FE35Og,잇시,대구,동구,중동
ydrIzkXcklmF,쌀부엌,대구,동구,중동
ndHda443SoKN,문드롭커피,대구,동구,중동
m27E4OWcxOC5,발리맥주 본점,대구,동구,중동
ia7RbjVAWbt4,커피플레닛,대구,동구,중동
WHJEloUoo4sb,The Golden Vineyard,대구,동구,중동
Qz1BmHZxXWPX,본대가,대구,동구,중동
QLt5GR772BMn,발바닥커피,대구,동구,중동
auFzH8kvI12C,잭앤카페,대구,동구,중동
0qrtBQ6n1I33,두만이통닭,대구,동구,중동
PuVQ5MPH7w21,헬로크랩 부천점,대구,동구,중동
iv3Vkiy1rBhA,카페드샹스,대구,동구,중동
ac9c4Kd8gXpn,세노야,대구,동구,중동
RCKCAw1ePf48,momo9,대구,동구,중동
S5U12xna6cRk,coffee voa,대구,동구,중동
34YNaXNa1lMT,텐텐볼링,대구,동구,중동
U9CQC4HNaapV,피자마루,대구,동구,중동
9MSqJhb0RnRh,카페 더 스토리,대구,동구,중동
53xjni67Tgqo,하이홉,대구,동구,중동
tu91cWgWdFUV,다정다소,대구,동구,중동
SLHEKlekhPsc,60년전통 신촌황소곱창 중동직영점,대구,동구,중동
dWXt2agfoZ5u,고래맥주창고,대구,동구,중동
AvvT3lW1VzaD,Poke all day 포케&샐러드 부천중동점,대구,동구,중동
vKwSIUIdyxFa,메가샵크로플 신중동점,대구,동구,중동
EafSaKduPN53,청솔로9 유니시티점,대구,동구,중동
OvlFDnLQhzzw,카페라온,대구,동구,중동
CwyFiZbqovn0,카페 홈,대구,동구,중동
gtKie8BRF3lF,닭바리,대구,동구,중동
wXsQJ3TjljNB,세라앤커피,대구,동구,중동
xyavxL9saREO,깜수비어,대구,동구,중동
uj194PDfG3Y2,갓플레이스,대구,동구,직동
ZgSMkSHb6ehN,카페루트62,대구,동구,직동
vXmBWLhGxqWU,뉴,대구,동구,직동
q1ptHVd8zKtM,킴스힐,대구,동구,추동
DzgdnLu36n4p,동구행복한어르신복지관 라운지,대구,동구,판암동
3Uulaf5YxTch,요거프레소 대전판암점,대구,동구,판암동
X2A3rEWmU7RD,삼월애,대구,동구,판암동
KAlDo9T7I0Vw,쌍청바베큐,대구,동구,판암동
xlUAHhS4csd9,카페 레버리,대구,동구,하소동
y91QjNlJadgL,투썸플레이스 대전만인산점,대구,동구,하소동
zlAfxKNasvwa,앤스키친,대구,동구,하소동
pAL2Bl9QB40q,만인아트 로스팅하우스,대구,동구,하소동
WsPRn71AT2bf,지구대,대구,동구,하소동
XuxG3W4nmx0G,팔레드 신,대구,북구,시청역
dVY718C89Zxt,커피 스니퍼,대구,북구,시청역
cSz3Zegmvnpj,북창동불쭈꾸미,대구,북구,시청역
blej2tmvrjk0,스몰굿커피 을지로점,대구,북구,시청역
JsCdBy5s5u0A,플래시커피 시청 센터플레이스점,대구,북구,시청역
gQIa1FcqU7kp,미쓰리 본점,대구,북구,시청역
K5RbwNdBqcSk,담소분식,대구,북구,시청역
clMLF2gFmCFd,더쌍화커피,대구,북구,시청역
AUGVFvZsXk4n,유월커피 소공점,대구,북구,시청역
JifbWUHDoqDb,에레스뚜,대구,북구,시청역
a61frtwNR7mj,소공동 쌩맥집,대구,북구,시청역
w57JyYpsVllj,멜로디후르츠 무교동점,대구,북구,시청역
pqyrXtIlP0kH,예박,대구,북구,시청역
aNC5IC7XhEvD,카페오늘 소공점,대구,북구,시청역
fnVL2YoJs8Wv,버터컵,대구,북구,대전시청
yZycX7uuLcRX,79파운야드 대전시청점,대구,북구,대전시청
tqt8iJV6lSUf,아임일리터 법원점,대구,북구,대전시청
0GbthdpZRibK,라임트리,대구,북구,대전시청
mt7Xn76bf2y9,카페항시,대구,북구,용문역
CjdYrFgF7Toa,행복한뜰,대구,북구,용문역
2TJBsQPx9GTT,59,대구,북구,용문역
CyTlHcu8iCmd,무한리필 고기생각,대구,북구,용문역
eJnfNxAbH0JK,숍비피,대구,북구,둔산
Oqqv1JblEg4z,짬뽕지존,대구,북구,둔산
6P6O3WGpMi9b,게리동서비스,대구,북구,둔산
akSWc3AcTNZP,파머스샌드위치 둔산점,대구,북구,둔산
fZ2WhRfROqnJ,크래프트피피,대구,북구,둔산
z7DmvXfvVG8c,사생활 돌샘점,대구,북구,둔산
91lcUcOWz2hr,피닉카페,대구,북구,둔산
RSy6kXmHGgcO,루프탑 라운지1987,대구,북구,둔산
PCoaH19Bmof6,행오버,대구,북구,둔산
yZycX7uuLcRX,79파운야드 대전시청점,대구,북구,둔산
JuTQWZakd438,타타스베이글 둔산점,대구,북구,둔산
av8kNHJA7oDr,더 쉘터,대구,북구,둔산
PkMzeeKWh4h5,유앤썸,대구,북구,둔산
LyjANV8J49fc,비스트로이응,대구,북구,둔산
IS5yQ3dSnfH5,붱,대구,북구,둔산
eWubaa5jHd4T,무무,대구,북구,둔산
YTVyaJqquj7b,니캉내캉목련김밥,대구,북구,둔산
oYGnn9DIRk08,강아지왈츠,대구,북구,둔산
zZk5PdVaXAtH,채플린,대구,북구,둔산
tqt8iJV6lSUf,아임일리터 법원점,대구,북구,둔산
aS4ujdnQ41v9,청사광장,대구,북구,둔산
kjXsa8py0UMJ,1983 더그레이 둔산점,대구,북구,둔산
tqt8iJV6lSUf,아임일리터 법원점,대구,북구,둔산
We8qfkKkxgFt,두넛샵 대전점,대구,북구,둔산
BR8y8HAZx9IY,소코아 대전둔산점,대구,북구,둔산
iuOJFY8nKXjy,힐링몽앤냥넷플릭스플스방,대구,북구,둔산
Sh20Jw5WxVXL,지구쓸맥 둔산점,대구,북구,둔산
0XNVjh1sVZpm,손더바커피하우스,대구,북구,둔산
0fzsMCLYkSN4,버기즈 탄방점,대구,북구,탄방역
Oqqv1JblEg4z,짬뽕지존,대구,북구,탄방역
fnVL2YoJs8Wv,버터컵,대구,북구,탄방역
QW0lAcsUR1mn,우드바이우드,대구,북구,탄방역
z3kMKZhw6K3h,잼나다쌀디저트,대구,북구,탄방역
oYGnn9DIRk08,강아지왈츠,대구,북구,탄방역
2Rk56DavwDOK,찐다방 탄방점,대구,북구,탄방역
kjXsa8py0UMJ,1983 더그레이 둔산점,대구,북구,탄방역
JbpAkv5eHKj8,홍사골칼국수왕족발 본점,대구,북구,탄방역
0GbthdpZRibK,라임트리,대구,북구,탄방역
rnAE4b6WjM1s,카페쏠티,대구,북구,탄방역
p4NndPkRAyXP,윙스그로우,대구,북구,가수원동
E6v58tosLFuv,완벽한소풍,대구,북구,가수원동
0xaLAvyNm5l7,오늘 나의,대구,북구,가수원동
Kfk8A1kRBYRK,외계인방앗간,대구,북구,가수원동
omLEKKyd9krU,브리즈라이크,대구,북구,가수원동
ZRKpVTpHvROh,카운트 커피,대구,북구,가수원동
1RqUfCR8vdzQ,로라네방앗간,대구,북구,가수원동
xSDtaBYbVnJJ,느티나무집,대구,북구,가수원동
7pNWTo8qP83j,바른기정떡 가장점,대구,북구,가장동
uBcBcMUEdrPp,진태옥설렁탕 오산점,대구,북구,가장동
X02o4RBugdt5,하오츠마라탕 가장점,대구,북구,가장동
T3bS1zwFkfjn,본가순대 가장점,대구,북구,가장동
z8Q1YX5DyPd4,온기,대구,북구,갈마동
UxSCKpy41tCT,몽상도취,대구,북구,갈마동
H56fxTEdfR9H,포크커피,대구,북구,갈마동
IUlPN3tvHhN6,갈마살롱,대구,북구,갈마동
pDANiU04NiLW,비건바닐라,대구,북구,갈마동
63TO0pS9AzwW,워크룸 커피,대구,북구,갈마동
7IhUXviFENDI,조개구이무한리필 조개시장,대구,북구,갈마동
4EPz9BziubH7,하이딩플레이스,대구,북구,갈마동
uMPiqU1SkByT,소식,대구,북구,갈마동
IxUNYRGHz7a4,버기즈 갈마점,대구,북구,갈마동
nGUZEQjk9bJP,이꼬르커피,대구,북구,갈마동
2EIAN1MZrEBv,벤헤드바운스,대구,북구,갈마동
Z1wWtQrtbFZN,레드 카페앤펍,대구,북구,갈마동
wIDvRhkhvL0e,오마켓,대구,북구,갈마동
iQDO1317mydD,블루머쉬룸,대구,북구,갈마동
m8sTdUWRpyYP,오프리아,대구,북구,갈마동
emuFwu91JwrP,헤이도넛,대구,북구,갈마동
hNhFpKbXKKjf,바베트의만찬,대구,북구,갈마동
G2u7NBSktU69,시선,대구,북구,갈마동
04xxhjEoSFN5,곰도리 과자점,대구,북구,갈마동
emuFwu91JwrP,헤이도넛,대구,북구,갈마동
ZUFwp6f8isSa,엔트라,대구,북구,갈마동
2s1rjeTi7J5c,대림석쇠구이,대구,북구,갈마동
yKqjgowjTynz,카페 소소담,대구,북구,관저동
kM3pi22V8S5r,10AMPM,대구,북구,관저동
wcs0eQ1q2E4a,레이오버,대구,북구,관저동
cvhLo0ZYyfhH,아토믹버거쉽,대구,북구,관저동
QRzaDmE2zCdG,안녕닭  관저점,대구,북구,관저동
lt4yfaaPGdVJ,만년설,대구,북구,관저동
xYBdmuil8BMG,어클락,대구,북구,관저동
BNL2lnDa3u5R,카페우림,대구,북구,관저동
69a7Em5LfNaQ,패러렐월드,대구,북구,관저동
AFYIdoETz8iY,커피어랏,대구,북구,관저동
z6UJXtawUPQ3,오휴,대구,북구,관저동
cU867G5ek2vF,카페선인장,대구,북구,관저동
pddCFFt9G1eK,만년닭강정,대구,북구,관저동
QXbUOfty3Xio,큰통치킨 관저점,대구,북구,관저동
eJMMp05QXWAb,리버스,대구,북구,관저동
UsvpiRQnOAxj,딥 에스프레소 바,대구,북구,관저동
qxU9XfqkcESf,투드 커피,대구,북구,괴곡동
Uw3MIXQffeD7,원조대구막창,대구,북구,괴정동
NZ2aHu6OhHwM,달달그린,대구,북구,괴정동
0hgvwm6VXqwM,뉘앙스,대구,북구,괴정동
YhFKfR1nJIqn,카페 양촌리,대구,북구,괴정동
xk8DKCh8kvRU,라노보,대구,북구,괴정동
z3kMKZhw6K3h,잼나다쌀디저트,대구,북구,괴정동
IFi4nQSQuOKF,왓에버커피,대구,북구,괴정동
hmaFDzgoZgVq,73스트릿커피,대구,북구,괴정동
6utrr30yvmKN,와플칸 대전1호점,대구,북구,괴정동
0fPuiTPGomdx,오푼,대구,북구,괴정동
2fZWlvagP7Bh,에글링턴,대구,북구,괴정동
HpwiTsVjizBE,컴플리트 카페&런드리,대구,북구,괴정동
tZTOQBaSxjx4,카페 꼬망지,대구,북구,내동
7SIuT54BNWc4,블루노트 커피 로스터스,대구,북구,내동
OFCsDZ4LONhv,새난옥수수,대구,북구,내동
zNcQAKDH7Toh,줌마네해물,대구,북구,내동
NvEBy5hAXaWO,사생활,대구,북구,내동
0kC6a3ZG1Vwu,시장뒷고기,대구,북구,내동
EM9jNmebfdbO,카페모스,대구,북구,내동
RUVYuTQzR6H4,불나는쭈꾸미,대구,북구,내동
kOPRxBAMptSF,귀하게,대구,북구,내동
gqTyjnupv3wj,쥬리쌀롱,대구,북구,내동
CO78tZ99qCBI,CAFE 공휴일,대구,북구,내동
b2lyqeTwuURO,그릭하우스,대구,북구,내동
UeIyg59HvZy8,그릭하다 김해내외점,대구,북구,내동
VR5H2nXKf6XE,온리원커피,대구,북구,내동
2AbUBGMAkuYA,비건카페 씨유쑨,대구,북구,내동
E1bPJrSn6zO3,컴펠링커피,대구,북구,내동
sf7D0dENXpzc,원타코,대구,북구,내동
b4ElhMO1f5ns,우성돈까스 내외점,대구,북구,내동
OpFtCV1Hxz3z,도이베이커리,대구,북구,내동
Kg3fQWNOYiDN,라노보 내동점,대구,북구,내동
UPXuy1UNkxyZ,식껍 논산점,대구,북구,내동
VyetLAx9fOra,벤,대구,북구,내동
28TYsv2Zmpm3,구이해 노을해,대구,북구,내동
8obuSOmN1Fw0,카페노드,대구,북구,내동
sB5c8Phu6cml,소휴식,대구,북구,도마동
ILvhTTycZh4j,베이커스비스킷,대구,북구,도마동
vwRfMW9Bsihq,갓츠킹 대전도마점,대구,북구,도마동
bN6HTQ2lnbmq,도르뜨,대구,북구,도마동
odoFA4bELmSJ,지영케이크,대구,북구,도마동
e3eCiSDAEjfE,BHC치킨,대구,북구,도마동
aicPwozMeq7g,피자락커,대구,북구,도안동
eNjxrGva512E,코너델리,대구,북구,도안동
MBFz3ABK3NpV,이태리면가게 파스타&스테이크 서대전점,대구,북구,도안동
dZT2y8OwhIyO,데이오프 카페,대구,북구,도안동
nDJuEutp23mn,카페인,대구,북구,도안동
